상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
장호왕곱창김치찌개,1.59,1.8,1.58,1.04,역삼1동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/30868150
백운이네,2.21,2.16,2.47,2.12,서교동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/1785732812
호우양꼬치,1.31,1.14,0.92,1.26,역삼1동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/1170176187
안녕파스타씨,2.06,1.92,1.25,2.8,서교동,양식,스파게티전문점,https://m.place.naver.com/restaurant/37207834
네모오징어,1.12,1.05,0.85,0.98,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/320859885
뉴욕야시장,1.15,0.83,0.77,0.85,서교동,양식,스테이크전문점,https://m.place.naver.com/restaurant/1202925675
스트릿스퀘어점,1.96,2.03,1.87,2.19,역삼1동,별식/퓨전요리,퓨전음식전문,https://m.place.naver.com/restaurant/1815698871
봉황당,1.02,0.7,0.71,0.81,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/37915744
수줍은포차,4.3,3.35,1.73,2.66,서교동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/1317832533
레뱅드매일,1.17,0.93,0.82,1.02,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1040863890
신전떡볶이,0.99,0.75,0.66,0.72,역삼1동,분식,떡볶이전문,https://m.place.naver.com/restaurant/1373485168
비,2.19,3.57,1.14,2.79,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1832522465
지에프씨,1.43,1.19,0.76,1.14,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/36949141
시스템,1.09,0.87,0.93,0.91,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/12222122
미요,1.62,1.53,1.98,1.45,역삼1동,한식,기타고기요리,https://m.place.naver.com/restaurant/37991722
섬마을,1.54,1.6,1.46,1.75,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/438356658
나팔,2.6,2.19,1.63,2.12,서교동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/1501211213
지코바양념치킨,2.07,1.76,1.66,1.51,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1332461169
명랑시대쌀핫도그,1.5,1.9,1.33,1.34,종로1.2.3.4가동,패스트푸드,핫도그,https://m.place.naver.com/restaurant/707256687
북촌칼국수,1.63,1.2,1.96,1.43,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/1932351843
강남곱,1.88,2.26,1.27,1.44,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/985516513
백년육일집,1.25,1.18,1.24,1.1,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1090495496
진가와,2.58,2.78,1.73,2.97,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/871189685
시골밥상,1.2,0.81,0.74,1.0,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1940264792
VIP참치,3.43,2.5,1.42,2.12,종로1.2.3.4가동,일식/수산물,참치전문점,https://m.place.naver.com/restaurant/143390666
자갈치식당,0.95,0.71,0.66,0.67,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1190582130
러빈허플라워카페,1.7,1.49,0.97,1.61,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36874015
기꾸,1.0,0.77,0.69,0.84,서교동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/36998652
돈화문칼국수,1.62,1.44,1.71,1.56,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/17932851
풍천장어,1.58,1.39,1.33,1.68,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11824418
비알코리아,1.75,1.38,1.24,2.79,종로1.2.3.4가동,패스트푸드,아이스크림판매,https://m.place.naver.com/restaurant/1908165652
오자와,1.41,1.58,1.2,1.3,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1155201609
놀란곱창,1.68,1.65,1.27,1.44,서교동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/37057140
오마래,1.94,1.51,1.12,1.74,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/469523238
걸신맛집,1.84,2.06,1.69,1.94,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/32333423
커피바케이,1.49,1.46,1.01,1.52,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/19882306
예지식당,1.31,1.2,1.06,1.19,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1565194605
담소소사골순대.육개장,1.4,1.33,1.24,1.35,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/32731184
흐린세상건너기,1.1,0.79,0.73,0.9,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/17915918
원남복집,1.09,0.89,0.95,0.88,종로1.2.3.4가동,일식/수산물,복전문,https://m.place.naver.com/restaurant/13150813
홍가네,1.42,1.34,1.26,1.26,역삼1동,유흥주점,민속주점,https://m.place.naver.com/restaurant/1003233508
에렉스에프앤비,2.42,2.39,1.19,1.41,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/62687876
자이온보트,2.18,2.06,1.63,1.75,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/31919100
엉터리생고기홍대점,1.35,1.14,1.18,1.19,서교동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/38018639
퀜치커피,1.56,1.51,0.98,2.53,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1644851911
부산아지매국밥,0.81,1.64,1.58,0.84,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37797403
옥이네,0.88,0.6,0.6,0.65,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1821955409
육회자매집,2.15,3.33,1.98,2.13,종로1.2.3.4가동,일식/수산물,횟집,https://m.place.naver.com/restaurant/12795594
브롱스,2.53,2.0,1.54,2.02,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/36438313
밸런스포인트,1.33,1.21,0.93,1.54,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1735813599
미카도스시,1.34,1.29,0.93,1.41,서교동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/1527559550
블랑,1.93,1.89,1.01,2.89,역삼1동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/35463285
짚신매운갈비찜,1.27,1.08,1.08,1.2,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/34581520
무진장,1.88,2.23,1.67,1.49,서교동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/1856760998
싼술의전당,1.21,1.05,0.82,1.18,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/80604240
긴자료코,1.06,0.94,0.89,0.8,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/793535986
치어스뱅뱅사거리점,1.53,0.99,0.91,1.09,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/33408991
형제식당,0.95,1.33,0.85,0.7,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/21889339
스시마이우,1.04,1.03,0.55,1.45,역삼1동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/20625816
무한숯불양꼬치,2.47,2.63,1.71,3.04,역삼1동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/991858885
족보통,0.88,0.6,0.6,0.65,서교동,한식,족발/보쌈전문,https://m.place.naver.com/restaurant/37388088
침사추이누들,1.5,1.69,2.08,1.46,서교동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/1155830773
브롱스,1.79,1.24,1.05,1.11,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/37803638
호미관,1.77,1.66,1.08,1.28,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/13559653
신촌풍천장어,1.0,0.75,0.7,0.83,서교동,일식/수산물,민물장어전문,https://m.place.naver.com/restaurant/13546770
감성수작더보스에이엠,1.39,1.37,1.12,0.91,역삼1동,한식,족발/보쌈전문,https://m.place.naver.com/restaurant/37747162
손가네,1.09,0.82,0.75,0.86,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1378841342
두끼떡볶이홍대점,0.98,1.13,1.16,1.18,서교동,분식,떡볶이전문,https://m.place.naver.com/restaurant/37288434
도호,1.81,1.8,1.22,1.42,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1326346995
수현복집,1.92,1.74,1.27,1.11,역삼1동,일식/수산물,복전문,https://m.place.naver.com/restaurant/37069411
정원식당,0.98,0.74,0.79,0.96,역삼1동,한식,한정식전문,https://m.place.naver.com/restaurant/37879084
고베규카츠강남,1.88,2.17,1.82,1.72,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/254171411
서린낙지,2.55,2.83,1.92,3.33,종로1.2.3.4가동,일식/수산물,낙지/오징어,https://m.place.naver.com/restaurant/11679997
타마고,1.87,1.56,1.24,1.68,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/37943802
제주정원,1.73,1.63,1.29,1.49,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36188515
소담,1.12,0.89,0.79,0.84,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1844059951
매반생면,1.11,1.0,0.93,0.93,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36342785
미홍합정역,1.22,1.1,0.78,1.16,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/33069736
홍성원,1.18,1.08,0.96,0.81,종로1.2.3.4가동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/20267975
효봉포차,1.71,1.55,1.08,1.35,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/308409881
에머이강남역,1.25,1.36,1.03,1.22,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/706251946
리김밥,1.88,1.76,1.67,2.0,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1324377633
세상끝의라멘,1.37,1.0,1.38,0.98,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1644407254
또바기치킨,1.6,1.42,1.06,1.21,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/33972515
카페낭만적,1.16,0.98,0.73,1.12,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/565616623
쌀쌀맞은닭,1.84,2.05,1.84,1.54,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/37288378
르블란서,2.34,2.91,1.7,2.31,종로1.2.3.4가동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/808382616
하남돼지집,1.52,1.31,1.19,1.14,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/37720886
아트몬스터익선동점,3.2,2.05,1.53,2.25,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1042113634
냉면&칼국수전문SINCE19,1.42,1.69,1.73,1.38,서교동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/31347105
의정부부대찌개,1.61,1.73,1.25,1.36,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/34239988
그우동집,1.28,1.07,1.12,1.33,역삼1동,분식,우동전문점,https://m.place.naver.com/restaurant/1020354645
선릉한옥집,1.05,1.21,1.04,0.89,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/946053273
소담,1.12,0.89,0.79,0.84,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1844059951
마약김밥,0.97,0.75,0.67,0.77,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/18673499
탄탄면공방,1.34,1.9,1.81,2.24,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/37450208
큰맘할매순대국,0.86,0.82,0.79,0.77,서교동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/37373931
와라와라,1.16,0.92,0.77,0.94,역삼1동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/33752457
존슨부대찌개,1.3,1.17,1.13,1.14,종로1.2.3.4가동,한식,부대찌개/섞어찌개,https://m.place.naver.com/restaurant/1207961986
분짜라붐역삼점,1.34,0.95,1.04,1.03,역삼1동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/1405198018
허브달구,1.63,1.66,2.03,1.42,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1168582439
솔마루,1.03,0.8,0.87,0.83,역삼1동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/13149771
강남불고기,1.24,1.07,0.94,1.12,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/31442457
진짜루,1.49,1.31,1.02,1.28,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/18363587
브롱스,1.79,1.24,1.05,1.11,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/37803638
앤파티,1.08,1.35,0.76,0.88,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/13541940
스타벅스,0.9,0.9,0.7,0.92,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/33575652
샘,1.27,1.0,0.91,0.96,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/37742061
개그맨정용국의강남곱창,1.4,1.86,1.04,1.07,역삼1동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/1228567637
진화로,1.81,2.01,1.36,1.78,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/911624355
등비룡마라탕,1.04,0.63,0.64,0.33,종로1.2.3.4가동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/1501145663
비진도해물뚝배기,2.69,2.28,1.71,2.06,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1461732445
고타이,2.16,2.23,2.04,1.6,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36845078
쿠바,2.48,1.82,1.22,1.85,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1312385920
역전포장마차,2.02,2.9,1.76,1.66,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1276605451
엘샌드위치,1.75,2.34,1.36,1.75,종로1.2.3.4가동,패스트푸드,샌드위치전문점,https://m.place.naver.com/restaurant/1032608374
싱싱해물나라,1.56,2.11,1.4,1.44,종로1.2.3.4가동,일식/수산물,횟집,https://m.place.naver.com/restaurant/1684540637
멸치국수맛있는집,1.39,1.07,1.14,1.22,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/30999818
크리드705,0.95,0.67,0.65,0.72,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1036418378
서교오뎅,1.91,1.75,1.28,1.31,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1016318318
병천순대,1.09,0.85,0.81,0.92,종로1.2.3.4가동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/37581964
고토히라우동,1.59,1.66,1.88,1.55,서교동,분식,우동전문점,https://m.place.naver.com/restaurant/33399701
항아리수제비,1.82,3.01,2.94,1.88,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/11708579
설빙,0.73,0.79,0.59,1.05,역삼1동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/33949546
오징어청춘,0.8,0.52,0.16,0.4,종로1.2.3.4가동,일식/수산물,낙지/오징어,https://m.place.naver.com/restaurant/37837161
진주대박집,1.69,1.52,1.48,1.24,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11844315
안동국시,1.46,1.56,1.32,1.62,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/17909068
한일관,1.74,1.82,2.01,1.59,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/33021506
자매식당,2.15,3.33,1.98,2.13,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/12795594
송하식당,1.28,1.13,0.9,1.01,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/18673785
모미모미,0.95,0.67,0.65,0.72,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1589817739
스파게티스토리,1.33,1.3,1.12,1.54,역삼1동,양식,스파게티전문점,https://m.place.naver.com/restaurant/1859081714
오쇼,1.31,0.99,0.8,1.02,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1467529236
둘둘치킨,0.99,0.77,0.75,0.77,역삼1동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/11849066
잔치마당,1.4,1.36,1.03,1.25,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/20844650
홍콩대패당,2.44,2.39,1.59,1.99,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1159061896
호맥,1.57,1.53,1.44,1.6,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1445269786
우리엄마레시피,1.16,1.14,0.92,1.25,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1673138963
노군식당,1.29,1.2,1.08,0.82,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1989547559
이이알티바,1.66,1.54,1.1,1.47,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1433663812
명륜진사갈비,1.85,2.12,1.97,1.84,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1931375043
맛찬들왕소금구이,1.58,1.84,1.48,1.36,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/460333437
스토구,1.48,1.29,0.97,1.19,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/31714629
마실,0.88,0.6,0.6,0.65,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1085660762
전원,1.77,1.48,1.59,1.32,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1064520976
코리아,0.92,0.65,0.58,0.53,역삼1동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/18586695
여수수산,0.98,0.89,0.56,0.74,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/1057194765
맛깔1987,2.14,1.63,1.13,1.85,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1837920980
초밥에미친남자,1.21,1.01,0.89,1.11,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1483583056
진진가마솥설렁탕,1.44,1.63,1.61,1.18,종로1.2.3.4가동,한식,설렁탕집,https://m.place.naver.com/restaurant/1851814998
광양본가,0.81,0.84,0.75,0.96,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1149228477
참치파티,1.86,1.48,1.15,1.53,서교동,일식/수산물,참치전문점,https://m.place.naver.com/restaurant/1526077404
왕손피자,1.06,0.84,0.79,1.05,역삼1동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/1410519979
서울한우곰탕,1.89,2.13,1.76,1.66,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1487971824
꼬끼꼬끼치킨호프,0.76,0.82,0.58,0.56,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/18784091
원할머니보쌈홍대역점,1.13,1.12,0.87,1.03,서교동,한식,족발/보쌈전문,https://m.place.naver.com/restaurant/13153260
벼락떡볶이,1.22,1.03,0.96,1.16,역삼1동,분식,떡볶이전문,https://m.place.naver.com/restaurant/36831313
맥도날드종로3가점,0.94,0.83,0.8,0.76,종로1.2.3.4가동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/18673146
소풍,1.11,0.83,0.77,0.75,종로1.2.3.4가동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/1566022488
노브랜드버거,1.79,1.46,1.59,1.47,종로1.2.3.4가동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/1832656042
김가네,1.8,1.62,1.5,1.61,역삼1동,분식,라면김밥분식,https://m.place.naver.com/restaurant/35125080
박사부S,1.1,0.87,0.81,0.88,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/1789316529
옥방손칼국수,0.94,0.68,0.65,0.72,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/32244642
역삼꽈배기,1.31,1.3,1.17,1.13,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1691075462
차알,2.2,2.78,1.78,2.08,종로1.2.3.4가동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/37256672
마초쉐프,2.6,1.98,1.6,2.99,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/36250128
정원숯불갈비,1.67,1.23,1.2,1.02,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/17935001
익선디미방,2.05,1.88,1.15,2.99,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1021505576
백해,2.15,2.92,1.26,2.03,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/36782334
남도포차,1.66,1.23,1.01,1.32,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/32806427
벌툰강남역점,0.86,0.56,0.47,0.56,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/613028337
"동대문찌개랑,찜이랑",1.51,1.41,1.34,1.44,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1493246548
김충기꽃삼겹,1.13,0.93,0.82,1.12,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1224044681
왕창골뱅이,0.76,0.79,0.79,0.68,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1139315447
모락모락,1.4,0.99,0.87,1.47,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1919982241
우도일식,1.58,1.45,1.68,1.51,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/20694197
호텔디아티스트,0.89,0.82,0.44,0.62,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1086668480
오븐에빠진닭,1.28,0.77,0.86,0.85,종로1.2.3.4가동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/19459597
옥동식,2.32,2.93,2.5,1.93,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/859857359
갯마을,1.6,2.35,1.04,1.43,서교동,일식/수산물,해물찜/탕전문,https://m.place.naver.com/restaurant/38521910
둥지,1.03,1.04,1.15,1.16,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/18788152
을지로골뱅이,1.15,0.86,0.82,0.93,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1912245517
어게인,1.87,2.55,1.33,2.05,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1905086354
조가네뼈해장국,1.35,1.23,1.11,1.19,종로1.2.3.4가동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/32473256
나주곰탕우정집,1.05,0.73,0.74,0.86,역삼1동,한식,설렁탕집,https://m.place.naver.com/restaurant/13149839
맥주마켓,1.25,0.85,0.76,0.77,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1313982045
어사출또종로3가점,1.16,0.92,0.8,0.88,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1163961258
청진복아구,1.06,0.81,0.81,0.85,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1436106612
이화골,1.44,1.36,1.19,1.5,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/37770430
청년닭발1987,1.83,1.44,1.45,1.21,서교동,닭/오리요리,닭내장/닭발요리,https://m.place.naver.com/restaurant/37282346
지코바양념치킨역삼1호점,1.33,1.14,1.06,1.01,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/80463687
참골뱅이와노가리,1.11,0.86,0.83,0.83,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/32284374
땅코참숯구이,1.55,1.67,1.5,1.22,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1313376910
런던떡볶이,2.62,2.15,1.4,3.65,역삼1동,분식,떡볶이전문,https://m.place.naver.com/restaurant/1931224333
수정,2.22,2.19,1.86,1.95,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20883284
여수오동도,1.08,1.28,0.89,1.18,종로1.2.3.4가동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/17914080
가연국시,1.73,1.92,2.36,1.78,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19861766
서초동연가,1.14,1.21,0.92,1.04,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/398839764
백수산,1.15,1.06,0.84,0.9,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/36105418
탑골솔밭갈비,1.2,1.0,0.86,1.01,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1786030391
참치공방,2.02,1.86,1.43,2.08,역삼1동,일식/수산물,참치전문점,https://m.place.naver.com/restaurant/87710088
김엔김대게,2.18,1.47,1.15,1.89,서교동,일식/수산물,바닷가재/게요리전문,https://m.place.naver.com/restaurant/11858791
카밀로라자네리아,1.88,2.0,1.32,2.46,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1163289569
피코이,1.92,2.85,1.43,2.06,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/788185575
와우끝집,1.71,2.6,1.53,1.91,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/34079350
경성함바그,1.93,1.62,1.63,1.67,서교동,양식,스테이크전문점,https://m.place.naver.com/restaurant/38342712
우리닭갈비,2.0,2.56,1.62,1.68,서교동,닭/오리요리,닭갈비전문,https://m.place.naver.com/restaurant/31403121
와우골,1.81,1.44,1.49,1.38,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/665645430
토말세꼬시,1.16,1.14,0.84,1.18,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/20622389
신의주찹쌀순대,1.67,1.41,1.41,1.31,서교동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/33431477
북촌손만두,1.2,1.45,1.41,1.1,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/21116666
강남보물섬,1.5,1.38,1.01,1.39,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/33236530
구워삶다,1.84,3.11,3.26,2.06,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/37755606
이태리부대찌개,2.4,1.92,2.01,2.55,종로1.2.3.4가동,한식,부대찌개/섞어찌개,https://m.place.naver.com/restaurant/1068427868
부뚜막,1.4,1.43,1.31,1.15,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1806750371
푸른바다세꼬시,1.38,1.31,0.98,1.21,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/11694359
대관령,2.25,2.15,1.99,2.15,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35085044
파주옥,1.7,2.26,2.28,1.42,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1601334781
더피자보이즈,1.33,1.61,0.83,1.24,서교동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/37624477
